Word,Frequency,Model,Part of Speech
oven,13595,JTS3000SNSS,RB
love,3593,JTS3000SNSS,NN
feature,3525,JTS3000SNSS,NN
great,3381,JTS3000SNSS,JJ
easy,2586,JTS3000SNSS,JJ
time,2218,JTS3000SNSS,NN
work,1981,JTS3000SNSS,NN
look,1931,JTS3000SNSS,NN
like,1833,JTS3000SNSS,IN
wall,1749,JTS3000SNSS,NN
cook,1634,JTS3000SNSS,NN
convection,1436,JTS3000SNSS,NN
would,1360,JTS3000SNSS,MD
well,1356,JTS3000SNSS,RB
month,1300,JTS3000SNSS,NN
used,1203,JTS3000SNSS,VBN
bought,1185,JTS3000SNSS,NN
kitchen,1179,JTS3000SNSS,NN
cooking,1148,JTS3000SNSS,NN
good,1143,EW27EW65PS,JJ
appliance,1131,JTS3000SNSS,NN
heat,1111,JTS3000SNSS,NN
nice,1068,JTS3000SNSS,JJ
home,1031,JTS3000SNSS,NN
microwave,1028,KOSE500ESS,NN
temperature,999,JTS3000SNSS,NN
control,996,JTS3000SNSS,NN
really,988,JTS3000SNSS,RB
year,966,JTS3000SNSS,NN
product,946,JTS3000SNSS,NN
clean,915,JTS3000SNSS,NN
also,863,JTS3000SNSS,RB
happy,851,JTS3000SNSS,JJ
wifi,829,JTS3000SNSS,NN
even,797,JTS3000SNSS,RB
stainless,791,JTS3000SNSS,NN
option,770,JTS3000SNSS,NN
rack,763,JTS3000SNSS,NN
touch,740,JTS3000SNSS,NN
installed,734,EW27EW65PS,VBN
using,725,JTS3000SNSS,VBG
screen,723,LWD3063ST,NN
make,721,KOSE500ESS,VB
review,669,JTS3000SNSS,NN
need,668,JTS3000SNSS,NN
smart,646,KOSE500ESS,NN
could,637,JTS3000SNSS,MD
much,621,KOSE500ESS,JJ
thing,619,KOSE500ESS,NN
timer,618,JTS3000SNSS,NN
week,616,JTS3000SNSS,NN
baking,614,KOSE500ESS,NN
food,610,JTS3000SNSS,NN
door,604,JTS3000SNSS,NN
unit,603,KOSE507ESS,NN
steel,602,JTS3000SNSS,NN
whirlpool,595,LWS3063BD,NN
bake,594,KOSE500ESS,NN
everything,579,JTS3000SNSS,NN
still,578,KOSE507ESS,RB
purchased,575,JTS3000SNSS,VBN
evenly,570,JTS3000SNSS,RB
first,566,KOSE500ESS,RB
beautiful,564,KOSE500ESS,NN
setting,544,JTS3000SNSS,VBG
preheat,541,JTS3000SNSS,NN
turn,538,KOSE500ESS,NN
phone,531,KOSE500ESS,NN
recommend,513,JTS3000SNSS,NN
issue,511,JTS3000SNSS,NN
replaced,509,JTS3000SNSS,VBN
many,502,JTS3000SNSS,JJ
back,500,JTS3000SNSS,RB
take,494,JTS3000SNSS,VB
came,478,JTS3000SNSS,VBD
single,475,JTS3000SNSS,JJ
better,469,JTS3000SNSS,RBR
come,467,JTS3000SNSS,VB
purchase,466,JTS3000SNSS,NN
electric,462,JTS3000SNSS,JJ
working,451,JTS3000SNSS,VBG
double,451,JTS3000SNSS,RB
function,451,JTS3000SNSS,NN
best,445,JTS3000SNSS,JJS
inside,444,KOSE507ESS,IN
samsung,436,LWD3063ST,NN
kitchenaid,435,LWD3063ST,NN
house,434,JTS3000SNSS,NN
problem,434,KOSE500ESS,NN
looking,432,JTS3000SNSS,VBG
never,429,JTS3000SNSS,RB
seems,427,JTS3000SNSS,VBZ
display,425,KOSE507ESS,NN
part,409,JTS3000SNSS,NN
install,406,JTS3000SNSS,NN
little,397,JTS3000SNSS,JJ
interior,397,JTS3000SNSS,NN
perfect,396,JTS3000SNSS,NN
blue,392,LWD3063ST,NN
panel,391,JTS3000SNSS,NN
steam,386,KOSE500ESS,NN
cleaning,377,JTS3000SNSS,NN
quality,375,JTS3000SNSS,NN
able,374,JTS3000SNSS,JJ
quickly,371,JTS3000SNSS,RB
temp,367,KOSE500ESS,NN
customer,367,JTS3000SNSS,NN
profile,365,NV51T5511DG,NN
long,355,JTS3000SNSS,RB
fast,351,JTS3000SNSS,NN
minute,348,JTS3000SNSS,NN
black,348,JTS3000SNSS,JJ
open,344,JTS3000SNSS,JJ
amazing,342,KOSE500ESS,VBG
bottom,341,JTS3000SNSS,NN
made,340,JTS3000SNSS,VBN
know,333,JTS3000SNSS,VB
pleased,324,JTS3000SNSS,JJ
self,324,LWD3063ST,NN
built,321,JTS3000SNSS,NN
perfectly,319,JTS3000SNSS,RB
since,319,JTS3000SNSS,IN
want,317,JTS3000SNSS,NN
hear,314,JTS3000SNSS,NN
service,314,JTS3000SNSS,NN
keep,314,JTS3000SNSS,VB
without,309,JTS3000SNSS,IN
overall,308,KOSE500ESS,JJ
however,304,KOSE500ESS,RB
different,301,KOSE500ESS,JJ
fryer,300,KOSE507ESS,NN
user,298,KOSE500ESS,NN
worked,297,KOSE500ESS,VBN
last,295,JTS3000SNSS,JJ
design,295,JTS3000SNSS,NN
replace,295,JTS3000SNSS,VB
every,290,KOSE500ESS,DT
give,290,JTS3000SNSS,VB
model,287,JTS3000SNSS,NN
excellent,286,JTS3000SNSS,NN
thank,283,JTS3000SNSS,NN
done,280,JTS3000SNSS,VBN
tried,280,KOSE500ESS,VBN
right,278,JTS3000SNSS,NN
manual,274,JTS3000SNSS,JJ
installation,272,JTS3000SNSS,NN
awesome,268,KOSE500ESS,NN
cooked,262,EW27EW65PS,NNS
cool,261,KOSE500ESS,NN
clock,260,LWD3063ST,NN
cabinet,260,LWD3063ST,NN
day,257,LWD3063ST,NN
price,255,JTS3000SNSS,NN
wait,255,KOSE500ESS,NN
touchscreen,252,NV51T5511DG,NN
light,252,KOSE500ESS,NN
start,252,JTS3000SNSS,NN
help,251,JTS3000SNSS,NN
always,249,JTS3000SNSS,RB
operate,248,KOSE507ESS,NN
instruction,247,KOSE500ESS,NN
button,245,JTS3000SNSS,NN
took,244,JTS3000SNSS,VBD
brand,241,KOSE507ESS,NN
color,241,JTS3000SNSS,NN
getting,236,KOSE507ESS,VBG
needed,236,JTS3000SNSS,VBN
find,232,JTS3000SNSS,VB
think,232,JTS3000SNSS,NN
sleek,232,KOSE500ESS,NN
quiet,232,JTS3000SNSS,JJ
already,231,JTS3000SNSS,RB
experience,228,JTS3000SNSS,NN
wish,228,JTS3000SNSS,NN
absolutely,226,JTS3000SNSS,RB
heating,225,KOSE500ESS,NN
large,225,KOSE500ESS,JJ
bakes,224,JTS3000SNSS,NNS
sure,224,KOSE500ESS,NN
hard,222,JTS3000SNSS,JJ
couple,222,KOSE507ESS,NN
especially,222,JTS3000SNSS,RB
stopped,221,KOSE507ESS,VBD
friendly,216,KOSE500ESS,RB
pretty,213,KOSE500ESS,RB
ever,212,LWD3063ST,RB
fine,211,JTS3000SNSS,NN
star,209,KOSE500ESS,NN
mode,207,LWD3063ST,NN
simple,207,KOSE500ESS,NN
quick,207,KOSE500ESS,NN
highly,206,JTS3000SNSS,RB
wanted,206,KOSE500ESS,VBD
another,203,JTS3000SNSS,DT
baked,202,JTS3000SNSS,VBN
replacement,202,JTS3000SNSS,NN
several,202,KOSE500ESS,JJ
space,201,JTS3000SNSS,NN
high,199,KOSE500ESS,JJ
provided,196,LWS3063BD,VBN
sound,195,KOSE507ESS,NN
wife,195,JTS3000SNSS,NN
glad,193,JTS3000SNSS,NN
definitely,193,KOSE500ESS,RB
thanksgiving,191,JTS3000SNSS,VBG
update,191,KOSE500ESS,NN
item,191,JTS3000SNSS,NN
longer,190,KOSE500ESS,NN
read,189,KOSE500ESS,NN
wi-fi,188,JTS3000SNSS,NN
second,187,LWD3063ST,JJ
warranty,187,KOSE500ESS,NN
understand,185,JTS3000SNSS,NN
connection,184,JTS3000SNSS,NN
family,183,JTS3000SNSS,NN
previous,180,JTS3000SNSS,JJ
rating,180,KOSE500ESS,NN
le,179,JTS3000SNSS,NN
reason,179,JTS3000SNSS,NN
built-in,177,JTS3000SNSS,NN
performance,177,JTS3000SNSS,NN
went,177,JTS3000SNSS,VBD
learning,177,LWD3063ST,VBG
combo,175,LWS3063BD,NN
intuitive,173,LWS3063BD,JJ
change,170,LWD3063ST,NN
wonderful,169,KOSE500ESS,NN
connected,169,KOSE507ESS,VBN
cycle,169,JTS3000SNSS,NN
complaint,168,JTS3000SNSS,NN
broil,168,LWD3063ST,NN
enough,166,JTS3000SNSS,RB
support,165,KOSE500ESS,NN
ease,165,KOSE507ESS,NN
shelf,165,JTS3000SNSS,NN
forward,165,LWD3063ST,RB
lower,164,LWD3063ST,JJR
modern,164,KOSE500ESS,JJ
something,163,KOSE500ESS,NN
super,163,LWD3063ST,NN
repair,163,KOSE507ESS,NN
enjoying,162,JTS3000SNSS,VBG
reach,162,JTS3000SNSS,NN
size,162,KOSE500ESS,NN
hour,161,JTS3000SNSS,NN
stove,159,JTS3000SNSS,NN
going,159,KOSE500ESS,VBG
found,159,JTS3000SNSS,NN
though,158,KOSE507ESS,IN
turkey,158,JTS3000SNSS,NN
expected,158,JTS3000SNSS,VBN
satisfied,157,JTS3000SNSS,JJ
room,156,KOSE500ESS,NN
finally,156,KOSE500ESS,RB
go,155,KOSE500ESS,VB
told,153,KOSE507ESS,NN
error,152,KOSE507ESS,NN
quite,152,KOSE500ESS,RB
call,151,KOSE500ESS,NN
trying,150,JTS3000SNSS,VBG
technology,149,LWD3063ST,NN
recipe,149,LWD3063ST,NN
said,148,JTS3000SNSS,VBD
meal,148,LWD3063ST,NN
verified,148,WOS51EC0HB,VBN
bread,147,LWD3063ST,NN
disappointed,147,LWD3063ST,JJ
degree,146,KOSE500ESS,NN
match,146,LWD3063ST,NN
turned,145,JTS3000SNSS,VBD
lot,145,JTS3000SNSS,NN
fantastic,144,LWD3063ST,JJ
appearance,144,KOSE500ESS,NN
tell,143,KOSE500ESS,NN
glass,143,JTS3000SNSS,NN
purchaser,143,WOS51EC0HB,NN
cooky,142,LWD3063ST,NN
small,141,JTS3000SNSS,JJ
delivery,140,JTS3000SNSS,NN
plus,140,JTS3000SNSS,CC
inch,140,JTS3000SNSS,NN
please,140,JTS3000SNSS,NN
multiple,139,LWS3063BD,NN
nothing,139,LWD3063ST,NN
pizza,139,KOSE507ESS,NN
sorry,138,JTS3000SNSS,NN
connect,138,JTS3000SNSS,NN
combination,137,LWD3063ST,NN
capacity,136,LWD3063ST,NN
three,135,JTS3000SNSS,CD
ability,135,JTS3000SNSS,NN
almost,135,JTS3000SNSS,RB
upgrade,134,KOSE500ESS,NN
easily,134,KOSE500ESS,RB
extremely,131,JTS3000SNSS,RB
thought,131,JTS3000SNSS,NN
regular,131,LWD3063ST,JJ
moved,130,LWD3063ST,VBN
annoying,130,LWS3063BD,VBG
probe,130,LWD3063ST,NN
remote,130,JTS3000SNSS,NN
opening,129,JTS3000SNSS,NN
side,129,JTS3000SNSS,NN
owned,129,KOSE507ESS,VBN
preheated,128,JTS3000SNSS,VBN
value,127,JTS3000SNSS,NN
loud,127,LWD3063ST,NN
enjoy,126,LWD3063ST,NN
difficult,126,JTS3000SNSS,JJ
dish,126,NV51T5511DG,NN
self-clean,125,LWS3063BD,JJ
digital,124,LWS3063BD,NN
helpful,123,JTS3000SNSS,NN
figure,123,JTS3000SNSS,NN
impressed,123,KOSE500ESS,JJ
upper,122,LWD3063ST,JJ
anything,122,LWD3063ST,NN
roast,122,LWD3063ST,NN
accurate,121,LWD3063ST,NN
result,121,JTS3000SNSS,NN
front,120,JTS3000SNSS,NN
store,120,JTS3000SNSS,NN
thanks,120,JTS3000SNSS,NNS
flex,119,NV51K7770SS,NN
sometimes,118,LWD3063ST,RB
worth,118,KOSE507ESS,NN
element,118,LWD3063ST,NN
anyone,117,JTS3000SNSS,NN
failed,117,JTS3000SNSS,VBD
feedback,116,JTS3000SNSS,NN
available,116,JTS3000SNSS,JJ
correct,116,LWD3063ST,NN
finish,116,KOSE507ESS,NN
happier,116,KOSE507ESS,NN
clear,116,LWD3063ST,JJ
dinner,116,LWD3063ST,NN
slide,115,JTS3000SNSS,NN
next,114,JTS3000SNSS,JJ
extra,114,LWD3063ST,JJ
build,113,LWD3063ST,NN
remodel,113,KOSE507ESS,NN
pull,112,KOSE500ESS,NN
feel,112,JTS3000SNSS,NN
number,112,JTS3000SNSS,NN
choice,112,JTS3000SNSS,NN
range,112,KOSE500ESS,NN
waiting,112,LWD3063ST,VBG
addition,112,LWD3063ST,NN
frustrating,111,JTS3000SNSS,VBG
outside,111,JTS3000SNSS,IN
cooktop,111,JTS3000SNSS,NN
connecting,110,JTS3000SNSS,VBG
favorite,110,KOSE500ESS,NN
easier,110,KOSE507ESS,JJR
faster,110,LWD3063ST,NN
started,110,JTS3000SNSS,VBN
fact,110,JTS3000SNSS,NN
holiday,109,LWD3063ST,NN
negative,109,JTS3000SNSS,JJ
sharing,109,JTS3000SNSS,VBG
shuts,109,LWD3063ST,NNS
tech,108,KOSE500ESS,NN
concern,108,JTS3000SNSS,NN
refrigerator,108,LWD3063ST,NN
convenient,107,LWD3063ST,NN
line,107,KOSE500ESS,NN
cooling,106,LWD3063ST,VBG
compared,106,KOSE500ESS,VBN
burn,106,KOSE507ESS,NN
preheats,106,KOSE500ESS,NNS
older,105,JTS3000SNSS,JJR
crisp,105,KOSE500ESS,NN
called,104,JTS3000SNSS,VBN
easyclean,104,LWD3063ST,NN
builder,104,LWS3063BD,NN
normal,104,KOSE500ESS,JJ
